source,score,review
MSN Consumer Guide (Robert Christgau),91,"I'm moved nevertheless by what can pass for a concept album about the romantic life of an uncommonly-to-impossibly strong and gifted teenage girl, starting on the first day of high school and gradually shedding naiveté without approaching misery or neurosis."
AllMusic,80,"Swift's gentle touch is as enduring as her songcraft, and this musical maturity may not quite jibe with her age but it does help make Fearless one of the best mainstream pop albums of 2008."
Billboard,80,"Though they're written by a teenager, Swift's songs have broad appeal, and therein lies the genius and accessibility of her second effort."
Boston Globe,80,"She's 18--wide-eyed, naive, hopeful--and that's how she sounds on Fearless, her superb new album."
Rolling Stone,80,Her music mixes an almost impersonal professionalism--it's so rigorously crafted it sounds like it has been scientifically engineered in a hit factory--with confessions that are squirmingly intimate and true.
Blender,80,"Swift has the personality and poise to make these songs hit as hard as gems like 'Tim McGraw' and 'Our Song' from her smash debut, and, once again, she wrote or cowrote them all."
Hartford Courant,80,"The Pennsylvania native delivers another pleasant assortment of precocious pop country on Fearless, a set that keeps her natural polish in the middle of the mainstream road, and sports uncommon refinements for a singer her age."
Village Voice,80,"Swift may not possess the vocal power to fully sell her more lyrically generic material (Underwood's great gift), but for the most part, this remarkably self-aware adolescent's words don't falter, masterfully avoiding the typical diarist's pitfalls of trite banality and pseudo-profound bullshit."
Observer Music Monthly,80,"She writes everything, and has a feel for timeless songwriting that means she can cover Eminem's 'Lose Yourself' live, and it works."
Entertainment Weekly,75,"Her supple, lightly twangy vocals fit the album's lilting melodies (most of the slick, radio-friendly instrumentation here is purely functional), and her sentiments, though sometimes naive, are refreshingly age-appropriate."
The Guardian,60,"Mixed feelings are very much par for the course listening to Fearless, a record that does something bland and uninventive but does it incredibly well."
Slant Magazine,50,"It's troubling that the album does not show significant refinements of the promise she demonstrated on her debut, but Swift's age still gives her ample time to hone her craft into something more substantial and more sophisticated."
Source Not Found,40,"The music is classifed as country, but it's really clinical pop, enlivened by Swift's confessional lyrics. [Apr 2009, p.101]"
Source Not Found,40,"Her giggly peers will find she speaks their language, while grown-ups will prefer her to keep quiet. [Apr 2009, p.110]"
