source,score,review
Entertainment Weekly,100,"Swift's lyric-writing abilities feel leveled-up on Evermore, its characters drawn in pointillistic detail. ... Similarly, the musical risks on Evermore are bigger, both in scope and in payoff. ... Freedom from expectations has, both with this album and its predecessor, led to Swift's leaps giving new heights to her already-pretty-skyscraping career."
New Musical Express (NME),100,"If ‘Folklore’ is an introspective, romantic older sister, ‘Evermore’ is the freewheeling younger sibling. ‘Folklore’ was Swift’s masterful songwriting spun through a very specific sonic palette; ‘Evermore’ feels looser, with more experimentation, charm and musical shades at play. The new album reaps the rewards the stylistic leap of faith that ‘Folklore’ represented, pushing the boundaries of that sonic palette further still."
Variety,93,"What “Evermore” is full of is narratives that, like the music that accompanies them, really come into focus on second or third listen, usually because of a detail or two that turns her sometimes impressionistic modes completely vivid. ... It’s an embarrassment of stunning albums-ending-in-“ore” that she’s mined out of a locked-down muse."
The A.V. Club,91,"evermore is even better than folklore, thanks to greater sonic cohesion (Antonoff only has one production credit, on the superlative “Gold Rush,” leaving the bulk of the music produced or co-produced by Aaron Dessner) and stronger songwriting."
DIY Magazine,90,"Whether it matches up to its self-proclaimed sister record or not, 2020 has seen Taylor Swift deliver over two hours of the most relatable stories in contemporary pop. There are lyricists and there are storytellers, and in a year of uncertainty and inconsistency, Taylor Swift has emerged as the most assured songwriter of her generation."
Spin,90,"She ascends further into the pantheon of songwriters who consistently deliver despite unimaginable expectations. For all its mayhem, 2020 has unlocked the best work of her career."
Rolling Stone,90,"Swift touches on so much more – nuanced acts of forgiveness, complex personal histories, the ability to visualize and know how a person can look in different shades of light. No doubt Swift is still the master of writing a spiteful kiss-off, but the songs of Evermore are a welcomed step in a more mature direction."
Consequence,83,"This record further establishes her identity as a modern poet, and the allusions to writers of old are tucked throughout. ... Mid-record songs like “cowboy like me” and “long story short” might not rise to the top either, but to say that any of these songs are weaker in comparison to others is like complaining about smudges in a crystal wine glass set — everything here is still beautiful and much better than collections you might find elsewhere."
Source Not Found,80,"It is without question a wintering record, but out of this muted musical landscape songs of great and complex beauty emerge. [Mar 2021, p.34]"
No Ripcord,80,"Even though we get a catchy moment of goofy, snarling country midway through, the album is a result of the emotional clarity that a year in quarantine provided. Swift has written about curdling relationships splendidly in the past, but there's a new dimension to her writing that wasn’t there before. Onward."
Under The Radar,80,"The pandemic seems to have freed her, given her the space to breathe, and has allowed her to produce her most elegant and sophisticated work to date."
AllMusic,80,"Evermore as a whole doesn't play as a sad album. Swift enjoys playing with the new musical and emotional colors on her palette for Evermore to anything but a warm balm, a record suited for contemplation, not loneliness."
Clash Music,80,"‘Evermore’ wholly offers more conviction, without sacrificing the vulnerability that enamoured even her biggest critics earlier this year."
PopMatters,80,"While not quite as replete with certified cottagecore stunners as folklore, evermore certainly has its fair share of strong tracks, all with varying levels of immersive realism."
The Independent (UK),80,"Swift has said she has no idea where she’s going from here. She doesn’t need to. But it’s a Christmas treat to hear her enjoy creating a whole magical, mystical world away from the spotlight. No reinvention required."
Slant Magazine,80,"The stories she tells are about how her narrators’ choices impact others, often in ways that cause irreparable harm. That makes the songwriting a bit riskier than on Folklore, and not all of those risks pay off. If that means Evermore isn’t quite as strong as that album, she nonetheless managed to release two of the finest albums of her career in the span of just a few months."
