Title,Link
The Tortured Poets Department / The Anthology,https://pitchfork.com/reviews/albums/taylor-swift-the-tortured-poets-department-the-anthology/
1989 (Taylor’s Version),https://pitchfork.com/reviews/albums/taylor-swift-1989-taylors-version/
Speak Now (Taylor’s Version),https://pitchfork.com/reviews/albums/taylor-swift-speak-now-taylors-version/
Midnights,https://pitchfork.com/reviews/albums/taylor-swift-midnights/
Red (Taylor’s Version),https://pitchfork.com/reviews/albums/taylor-swift-red-taylors-version/
Fearless (Taylor’s Version),https://pitchfork.com/reviews/albums/taylor-swift-fearless-taylors-version/
Evermore,https://pitchfork.com/reviews/albums/taylor-swift-evermore/
Folklore,https://pitchfork.com/reviews/albums/taylor-swift-folklore/
Lover,https://pitchfork.com/reviews/albums/taylor-swift-lover/
Red,https://pitchfork.com/reviews/albums/taylor-swift-red/
Fearless,https://pitchfork.com/reviews/albums/taylor-swift-fearless/
Speak Now,https://pitchfork.com/reviews/albums/taylor-swift-speak-now/
Taylor Swift,https://pitchfork.com/reviews/albums/taylor-swift-taylor-swift/
1989,https://pitchfork.com/reviews/albums/taylor-swift-1989/
Reputation,https://pitchfork.com/reviews/albums/taylor-swift-reputation/
